Id, min_ra, max_ra, min_decl, max_decl, nbr_line_csv, N, M
0, -2.150935866481638, -0.9027514110306802, -7.043023775387208, -4.777556390934574, 0, 7, 7
1, -2.150935866481638, -0.9027514110306802, -5.155134288343347, -2.8896669038907135, 833195, 7, 7
2, -2.150935866481638, -0.9027514110306802, -3.267244801299486, -1.0017774168468527, 2048569, 7, 7
3, -2.150935866481638, -0.9027514110306802, -1.3793553142556254, 0.8861120701970071, 8831, 7, 7
4, -2.150935866481638, -0.9027514110306802, 0.5085341727882362, 2.7740015572408687, 18472, 7, 7
5, -2.150935866481638, -0.9027514110306802, 2.396423659832097, 4.6618910442847294, 50052, 7, 7
6, -2.150935866481638, -0.9027514110306802, 4.284313146875959, 6.54978053132859, 0, 7, 7
7, -1.11078215360584, 0.1374023018451176, -7.043023775387208, -4.777556390934574, 0, 7, 7
8, -1.11078215360584, 0.1374023018451176, -5.155134288343347, -2.8896669038907135, 1606159, 7, 7
9, -1.11078215360584, 0.1374023018451176, -3.267244801299486, -1.0017774168468527, 2122562, 7, 7
10, -1.11078215360584, 0.1374023018451176, -1.3793553142556254, 0.8861120701970071, 48179, 7, 7
11, -1.11078215360584, 0.1374023018451176, 0.5085341727882362, 2.7740015572408687, 0, 7, 7
12, -1.11078215360584, 0.1374023018451176, 2.396423659832097, 4.6618910442847294, 0, 7, 7
13, -1.11078215360584, 0.1374023018451176, 4.284313146875959, 6.54978053132859, 88, 7, 7
14, -0.07062844073004215, 1.1775560147209156, -7.043023775387208, -4.777556390934574, 789857, 7, 7
15, -0.07062844073004215, 1.1775560147209156, -5.155134288343347, -2.8896669038907135, 203146, 7, 7
16, -0.07062844073004215, 1.1775560147209156, -3.267244801299486, -1.0017774168468527, 0, 7, 7
17, -0.07062844073004215, 1.1775560147209156, -1.3793553142556254, 0.8861120701970071, 0, 7, 7
18, -0.07062844073004215, 1.1775560147209156, 0.5085341727882362, 2.7740015572408687, 0, 7, 7
19, -0.07062844073004215, 1.1775560147209156, 2.396423659832097, 4.6618910442847294, 0, 7, 7
20, -0.07062844073004215, 1.1775560147209156, 4.284313146875959, 6.54978053132859, 823031, 7, 7
21, 0.9695252721457561, 2.2177097275967137, -7.043023775387208, -4.777556390934574, 1221089, 7, 7
22, 0.9695252721457561, 2.2177097275967137, -5.155134288343347, -2.8896669038907135, 190104, 7, 7
23, 0.9695252721457561, 2.2177097275967137, -3.267244801299486, -1.0017774168468527, 0, 7, 7
24, 0.9695252721457561, 2.2177097275967137, -1.3793553142556254, 0.8861120701970071, 234418, 7, 7
25, 0.9695252721457561, 2.2177097275967137, 0.5085341727882362, 2.7740015572408687, 97090, 7, 7
26, 0.9695252721457561, 2.2177097275967137, 2.396423659832097, 4.6618910442847294, 0, 7, 7
27, 0.9695252721457561, 2.2177097275967137, 4.284313146875959, 6.54978053132859, 809792, 7, 7
28, 2.009678985021554, 3.2578634404725113, -7.043023775387208, -4.777556390934574, 0, 7, 7
29, 2.009678985021554, 3.2578634404725113, -5.155134288343347, -2.8896669038907135, 0, 7, 7
30, 2.009678985021554, 3.2578634404725113, -3.267244801299486, -1.0017774168468527, 0, 7, 7
31, 2.009678985021554, 3.2578634404725113, -1.3793553142556254, 0.8861120701970071, 252, 7, 7
32, 2.009678985021554, 3.2578634404725113, 0.5085341727882362, 2.7740015572408687, 9284, 7, 7
33, 2.009678985021554, 3.2578634404725113, 2.396423659832097, 4.6618910442847294, 2816, 7, 7
34, 2.009678985021554, 3.2578634404725113, 4.284313146875959, 6.54978053132859, 0, 7, 7
35, 3.0498326978973527, 4.29801715334831, -7.043023775387208, -4.777556390934574, 0, 7, 7
36, 3.0498326978973527, 4.29801715334831, -5.155134288343347, -2.8896669038907135, 0, 7, 7
37, 3.0498326978973527, 4.29801715334831, -3.267244801299486, -1.0017774168468527, 0, 7, 7
38, 3.0498326978973527, 4.29801715334831, -1.3793553142556254, 0.8861120701970071, 1717, 7, 7
39, 3.0498326978973527, 4.29801715334831, 0.5085341727882362, 2.7740015572408687, 19973, 7, 7
40, 3.0498326978973527, 4.29801715334831, 2.396423659832097, 4.6618910442847294, 820, 7, 7
41, 3.0498326978973527, 4.29801715334831, 4.284313146875959, 6.54978053132859, 0, 7, 7
42, 4.08998641077315, 5.338170866224107, -7.043023775387208, -4.777556390934574, 0, 7, 7
43, 4.08998641077315, 5.338170866224107, -5.155134288343347, -2.8896669038907135, 0, 7, 7
44, 4.08998641077315, 5.338170866224107, -3.267244801299486, -1.0017774168468527, 4373, 7, 7
45, 4.08998641077315, 5.338170866224107, -1.3793553142556254, 0.8861120701970071, 0, 7, 7
46, 4.08998641077315, 5.338170866224107, 0.5085341727882362, 2.7740015572408687, 12724, 7, 7
47, 4.08998641077315, 5.338170866224107, 2.396423659832097, 4.6618910442847294, 705951, 7, 7
48, 4.08998641077315, 5.338170866224107, 4.284313146875959, 6.54978053132859, 0, 7, 7
